epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.046,0.01457,2.78434,1.85206,0.60839,0.31441,0.25242,0.10475,0.01639,2.93211,2.37723,0.000472906,0.000472906,0.000472906
2,231.726,0.01432,2.48781,1.85328,0.26187,0.40926,0.21642,0.06603,0.01646,3.45017,2.44265,0.000939842,0.000939842,0.000939842
3,346.261,0.01422,2.45191,1.85961,0.3125,0.33468,0.18867,0.07643,0.01673,4.00078,2.44499,0.00139735,0.00139735,0.00139735
4,460.145,0.01404,2.37373,1.85171,0.58713,0.37345,0.24003,0.10102,0.01564,3.56348,2.36005,0.00138656,0.00138656,0.00138656
5,573.933,0.01394,2.35657,1.85377,0.36223,0.41909,0.29705,0.13356,0.01487,2.95691,2.14741,0.00137241,0.00137241,0.00137241
6,687.835,0.01357,2.30017,1.82601,0.33944,0.39962,0.28439,0.11668,0.01489,2.6709,2.16927,0.00135826,0.00135826,0.00135826
7,801.718,0.01334,2.25896,1.78172,0.40751,0.41952,0.32174,0.15106,0.01431,2.62927,2.12857,0.00134412,0.00134412,0.00134412
8,915.999,0.0132,2.22342,1.7772,0.33674,0.5062,0.34157,0.16597,0.01444,2.54234,2.09682,0.00132997,0.00132997,0.00132997
9,1030.5,0.01291,2.19968,1.73848,0.39676,0.47013,0.34916,0.16646,0.01374,2.56803,2.03854,0.00131582,0.00131582,0.00131582
10,1144.24,0.01287,2.17602,1.7647,0.35524,0.51931,0.36902,0.18259,0.01375,2.32493,2.02481,0.00130168,0.00130168,0.00130168
11,1258.63,0.01279,2.12555,1.73218,0.38807,0.47939,0.37274,0.18002,0.01412,2.2718,2.06109,0.00128753,0.00128753,0.00128753
12,1372.74,0.01278,2.10819,1.70939,0.37084,0.51583,0.35938,0.16459,0.01332,2.31011,2.00417,0.00127338,0.00127338,0.00127338
13,1486.62,0.01254,2.12035,1.70624,0.39801,0.50774,0.34759,0.17725,0.01357,2.25305,2.01098,0.00125923,0.00125923,0.00125923
14,1600.82,0.01249,2.08494,1.71554,0.42068,0.49381,0.37546,0.18349,0.01343,2.29267,2.02246,0.00124509,0.00124509,0.00124509
15,1715.08,0.01223,2.00373,1.66841,0.39815,0.43711,0.34697,0.17519,0.01368,2.46414,2.04669,0.00123094,0.00123094,0.00123094
16,1828.8,0.01213,2.00789,1.66795,0.40795,0.45807,0.38667,0.18105,0.01355,2.45433,1.99981,0.00121679,0.00121679,0.00121679
17,1942.87,0.01206,1.96051,1.64569,0.42092,0.50563,0.38433,0.18041,0.01361,2.40702,2.01441,0.00120265,0.00120265,0.00120265
18,2056.42,0.01203,1.93126,1.63815,0.39593,0.55698,0.39769,0.20293,0.01323,2.3012,1.98608,0.0011885,0.0011885,0.0011885
19,2170.28,0.01211,1.93583,1.66144,0.38279,0.5002,0.38246,0.20539,0.01269,2.28564,1.95938,0.00117435,0.00117435,0.00117435
20,2284.48,0.01183,1.9163,1.62986,0.43781,0.54059,0.42226,0.20203,0.01309,2.36764,1.94766,0.00116021,0.00116021,0.00116021
21,2398.83,0.01185,1.88764,1.61281,0.4493,0.53428,0.44171,0.22758,0.01288,2.17365,1.95438,0.00114606,0.00114606,0.00114606
22,2513.22,0.01157,1.8482,1.60028,0.47541,0.55569,0.4394,0.22491,0.01286,2.19644,1.94536,0.00113191,0.00113191,0.00113191
23,2627.23,0.01162,1.84752,1.60173,0.45441,0.57325,0.43272,0.21928,0.01269,2.13238,1.917,0.00111776,0.00111776,0.00111776
24,2741.75,0.01157,1.8659,1.61016,0.45892,0.49793,0.43087,0.21995,0.01293,2.05531,1.93411,0.00110362,0.00110362,0.00110362
25,2855.3,0.01143,1.77318,1.57021,0.46298,0.5502,0.43545,0.22202,0.0129,2.15687,1.91341,0.00108947,0.00108947,0.00108947
26,2969.62,0.01144,1.78045,1.59012,0.49348,0.55646,0.46959,0.25152,0.01268,2.01934,1.90755,0.00107532,0.00107532,0.00107532
